query_id,query_text,retriever,rank,chunk_id,text,score,is_relevant
q003,clean code practices for data preprocessing pipelines,sparse,1,cc_knowledge_book.pdf:p2_c1,Clean Code,0.4417313,
q003,clean code practices for data preprocessing pipelines,sparse,2,cc_knowledge_book.pdf:p37_c2,"deadlines. In short, they don’t take the time to go fast! True professionals know that the second part of the conundrum is wrong. Y ou will not make the deadline by making the mess. Indeed, the mess will slow you down instantly, and will force you to miss the deadline. The only way to make the deadline—the only way to go fast—is to keep the code as clean as possible at all times. The Art of Clean Code? Let’ s say you believe that messy code is a signiﬁcant impediment. Let’ s say that you accept that the only way to go fast is to keep your code clean. Then you must ask yourself: “How do I write clean code?” It’ s no good trying to write clean code if you don’t know what it means for code to be clean! The bad news is that writing clean code is a lot like painting a picture. Most of us know when a picture is painted well or badly. But being able to recognize good art from bad does not mean that we know how to paint. So too being able to recognize clean code from dirty code does not mean that we know how to write clean code! 2. When hand-washing was ﬁrst recommended to physicians by Ignaz Semmelweis in 1847, it was rejected on the basis that doctors were too busy and wouldn’t have time to wash their hands between patient visits.",0.15120602,
q003,clean code practices for data preprocessing pipelines,sparse,3,cc_knowledge_book.pdf:p39_c2,"undistracted, and unpolluted, by the surrounding details. Grady Booch, author of Object Oriented Analysis and Design with Applications Clean code is simple and direct. Clean code reads like well-written prose. Clean code never obscures the designer’ s intent but rather is full of crisp abstractions and straightforward lines of control. Grady makes some of the same points as Bjarne, but he takes a readability perspective. I especially like his view that clean code should read like well-written prose. Think back on a really good book that you’ve read. Remember how the words disappeared to be replaced by images! It was like watching a movie, wasn’t it? Better! Y ou saw the characters, you heard the sounds, you experienced the pathos and the humor. Reading clean code will never be quite like reading Lord of the Rings. Still, the liter- ary metaphor is not a bad one. Like a good novel, clean code should clearly expose the ten- sions in the problem to be solved. It should build those tensions to a climax and then give 3. http://www.pragmaticprogrammer.com/booksellers/2004-12.html",0.14433047,
q003,clean code practices for data preprocessing pipelines,sparse,4,cc_knowledge_book.pdf:p39_c1,"8 Chapter 1: Clean Code to describe the consequence of that inelegance. He uses the word “tempt.” There is a deep truth here. Bad code tempts the mess to grow! When others change bad code, they tend to make it worse. Pragmatic Dave Thomas and Andy Hunt said this a different way. They used the meta- phor of broken windows.3 A building with broken windows looks like nobody cares about it. So other people stop caring. They allow more windows to become broken. Eventually they actively break them. They despoil the facade with grafﬁti and allow garbage to col- lect. One broken window starts the process toward decay. Bjarne also mentions that error handing should be complete. This goes to the disci- pline of paying attention to details. Abbreviated error handling is just one way that pro- grammers gloss over details. Memory leaks are another, race conditions still another. Inconsistent naming yet another. The upshot is that clean code exhibits close attention to detail. Bjarne closes with the assertion that clean code does one thing well. It is no accident that there are so many principles of software design that can be boiled down to this simple admonition. Writer after writer has tried to communicate this thought. Bad code tries to do too much, it has muddled intent and ambiguity of purpose. Clean code is focused. Each function, each class, each module exposes a single-minded attitude that remains entirely undistracted, and unpolluted, by the surrounding details. Grady Booch, author of Object Oriented Analysis and Design with Applications Clean code is simple and direct. Clean code reads like well-written prose. Clean code never obscures the designer’ s intent but rather is full of crisp abstractions and straightforward lines of control.",0.13443097,
q003,clean code practices for data preprocessing pipelines,sparse,5,cc_knowledge_book.pdf:p8_c1,vii Contents Foreword................................................................................................ xix Introduction ..........................................................................................xxv On the Cover....................................................................................... xxix Chapter 1: Clean Code........................................................................1 There Will Be Code...............................................................................2 Bad Code................................................................................................3 The Total Cost of Owning a Mess........................................................4 The Grand Redesign in the Sky..........................................................5 Attitude...............................................................................................5 The Primal Conundrum......................................................................6 The Art of Clean Code?......................................................................6 What Is Clean Code?..........................................................................7 Schools of Thought..............................................................................12 We Are Authors....................................................................................13 The Boy Scout Rule.............................................................................14 Prequel and Principles........................................................................15 Conclusion............................................................................................15 Bibliography.........................................................................................15 Chapter 2: Meaningful Names.......................................................17 Introduction.........................................................................................17 Use Intention-Revealing Names.........................................................18 Avoid Disinformation..........................................................................19 Make Meaningful Distinctions...........................................................20 Use Pronounceable Names..................................................................21 Use Searchable Names........................................................................22,0.10873215,
q004,code smell: long parameter list in service functions,sparse,1,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p309_c1,"These are classes that have fields, getting and setting methods for fields, and nothing else. Such classes are dumb data holders and are often being manipulated in far too much detail by other classes. In Fowler’s personal Web site there’s an illuminating post titled Code Smell. The post is very relevant to our discussion because he uses data class as one example of a code smell and suggests how to deal with it. Here is the post, reproduced in full.9",0.14290151,
q004,code smell: long parameter list in service functions,sparse,2,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p310_c1,"CODE SMELL By Martin Fowler A code smell is a surface indication that usually corresponds to a deeper problem in the system. The term was first coined by Kent Beck while helping me with my Refactoring book. The quick definition above contains a couple of subtle points. Firstly a smell is by definition something that’s quick to spot—or sniffable as I’ve recently put it. A long method is a good example of this—just looking at the code and my nose twitches if I see more than a dozen lines of Java. The second is that smells don’t always indicate a problem. Some long methods are just fine. You have to look deeper to see if there is an underlying problem there—smells aren’t inherently bad on their own— they are often an indicator of a problem rather than the problem themselves. The best smells are something that’s easy to spot and most of time lead you to really interesting problems. Data classes (classes with all data and no behavior) are good examples of this. You look at them and ask yourself what behavior should be in this class. Then you start refactoring to move that behavior in there. Often simple questions and initial refactorings can be the vital step in turning anemic objects into something that really has class. One of the nice things about smells is that it’s easy for inexperienced people to spot them, even if they don’t know enough to evaluate if there’s a real problem or to correct them. I’ve heard of lead developers who will pick a “smell of the week” and ask people to look for the smell and bring it up with the senior members of the team.",0.1318067,
q004,code smell: long parameter list in service functions,sparse,3,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p310_c2,"them, even if they don’t know enough to evaluate if there’s a real problem or to correct them. I’ve heard of lead developers who will pick a “smell of the week” and ask people to look for the smell and bring it up with the senior members of the team. Doing it one smell at a time is a good way of gradually teaching people on the team to be better programmers.",0.10573017,
q004,code smell: long parameter list in service functions,sparse,4,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p319_c1,"dunder methods).” The influence of attrs on @dataclass is acknowledged by Eric V. Smith in PEP 557. This probably includes Smith’s most important API decision: the use of a class decorator instead of a base class and/or a metaclass to do the job. Glyph—founder of the Twisted project—wrote an excellent introduction to attrs in The One Python Library Everyone Needs. The attrs documentation includes a discussion of alternatives. Book author, instructor, and mad computer scientist Dave Beazley wrote cluegen, yet another data class generator. If you’ve seen any of Dave’s talks, you know he is a master of metaprograming Python from first principles. So, I found it inspiring to learn from the cluegen README.md file the concrete use case that motivated him to write an alternative to Python’s @dataclass, and his philosophy of presenting an approach to solve the problem, in contrast to providing a tool: the tool may be quicker to use at first, but the approach is more flexible and can take you as far as you want to go. Regarding Data Class as a code smell, the best source I found was Martin Fowler’s book Refactoring, Second Edition. This newest version is missing the quote from the epigraph of this chapter, “Data classes are like children…”, but otherwise it’s the best edition of Fowler’s most famous book, particularly for Pythonistas because the examples are in modern JavaScript, which is closer to Python than Java—the language of the first edition. The Web site Refactoring Guru also has a description of the Data Class code smell.",0.0777663,
q004,code smell: long parameter list in service functions,sparse,5,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p723_c2,"but it is an interface, and Widget “defines” it as the union of the interfaces of its superclasses. The Tk class, which encapsulates the GUI application logic, inherits from Wm and Misc, neither of which are abstract or mixin (Wm is not proper mixin because TopLevel subclasses only from it). The name of the Misc class is—by itself—a very strong code smell. Misc has more than 100 methods, and all widgets inherit from it. Why is it necessary that every",0.07002266,
q005,best practices to reduce nested loops and branches,sparse,1,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p597_c1,"Figure 12-1. Reducing functions—reduce, sum, any, all—produce a single aggregate result from a sequence or from any finite iterable object. So far we’ve seen that functools.reduce() can be replaced by sum(), but now let’s properly explain how it works. The key idea is to reduce a series of values to a single value. The first argument to reduce() is a two-argument function, and the second argument is an iterable. Let’s say we have a two-argument function fn and a list lst. When you call reduce(fn, lst), fn will be applied to the first pair of elements—fn(lst[0], lst[1])—producing a first result, r1. Then fn is applied to r1 and the next element—fn(r1, lst[2])— producing a second result, r2. Now fn(r2, lst[3]) is called to produce r3 … and so on until the last element, when a single result, rN, is returned. Here is how you could use reduce to compute 5! (the factorial of 5): >>> 2 * 3 * 4 * 5 # the result we want: 5! == 120 120 >>> import functools >>> functools.reduce(lambda a,b: a*b, range(1, 6)) 120",0.088227496,
q005,best practices to reduce nested loops and branches,sparse,2,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p367_c1,"Example 7-6. Sum of integers up to 99 performed with reduce and sum >>> from functools import reduce >>> from operator import add >>> reduce(add, range(100)) 4950 >>> sum(range(100)) 4950 >>> Starting with Python 3.0, reduce is no longer a built-in. Import add to avoid creating a function just to add two numbers. Sum integers up to 99. Same task with sum—no need to import and call reduce and add. NOTE The common idea of sum and reduce is to apply some operation to successive items in a sequence, accumulating previous results, thus reducing a sequence of values to a single value. Other reducing built-ins are all and any: all(iterable) Returns True if there are no falsy elements in the iterable; all([]) returns True. any(iterable) Returns True if any element of the iterable is truthy; any([]) returns False. I give a fuller explanation of reduce in “Vector Take #4: Hashing and a Faster ==” where an ongoing example provides a meaningful context for",0.07334377,
q005,best practices to reduce nested loops and branches,sparse,3,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p141_c1,"Chapter 3. Dictionaries and Sets A NOTE FOR EARLY RELEASE READERS With Early Release ebooks, you get books in their earliest form—the author’s raw and unedited content as they write—so you can take advantage of these technologies long before the official release of these titles. This will be the 3rd chapter of the final book. Please note that the GitHub repo will be made active later on. If you have comments about how we might improve the content and/or examples in this book, or if you notice missing material within this chapter, please reach out to the author at fluentpython2e@ramalho.org. Python is basically dicts wrapped in loads of syntactic sugar. —Lalo Martins, early digital nomad and Pythonista. We use dictionaties in all our Python programs. If not directly in our code, then indirectly because the dict type is a fundamental part of Python’s implementation. Class and instance attributes, module namespaces, and function keyword arguments are some of the core Python constructs represented by dictionaries in memory. The __builtins__.__dict__ stores all built-in types, objects, and functions. Because of their crucial role, Python dicts are highly optimized—and continue to get improvements. Hash tables are the engines behind Python’s high- performance dicts. Other built-in types based on hash tables are set and frozenset. These offer richer APIs and operators than the sets you may have encountered in other popular languages. In particular, Python sets implement all the fundamental operations from set theory, like union, intersection, subset tests etc. With them, we can express algorithms in a more declarative way, avoiding lots of nested loops and conditionals.",0.063769095,
q005,best practices to reduce nested loops and branches,sparse,4,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p601_c1,"Figure 12-2. Map-reduce: apply function to each item to generate a new series (map), then compute aggregate (reduce) The mapping step produces one hash for each component, and the reduce step aggregates all hashes with the xor operator. Using map instead of a genexp makes the mapping step even more visible: def __hash__(self): hashes = map(hash, self._components) return functools.reduce(operator.xor, hashes)",0.061464097,
q005,best practices to reduce nested loops and branches,sparse,5,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p259_c2,"syntax details, codecs, regular expressions, filenames, and best practices for Unicode- aware I/O (i.e., the Unicode sandwich), with plenty of additional reference links from each section. Chapter 4, “Strings”, of Mark Pilgrim’s awesome book Dive into Python 3 also provides a very good intro to Unicode support in Python 3. In the same book, Chapter 15 describes how the Chardet library was ported from Python 2 to Python 3, a valuable case study given that the switch from the old str to the new bytes is the cause of most",0.060115717,
q006,how to refactor duplicated code across multiple modules,sparse,1,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p704_c1,">>> class DoppelDict(dict): ... def __setitem__(self, key, value): ... super().__setitem__(key, [value] * 2) ... >>> dd = DoppelDict(one=1) >>> dd {'one': 1} >>> dd['two'] = 2 >>> dd {'one': 1, 'two': [2, 2]} >>> dd.update(three=3) >>> dd {'three': 3, 'one': 1, 'two': [2, 2]} DoppelDict.__setitem__ duplicates values when storing (for no good reason, just to have a visible effect). It works by delegating to the superclass. The __init__ method inherited from dict clearly ignored that __setitem__ was overridden: the value of 'one' is not duplicated. The [] operator calls our __setitem__ and works as expected: 'two' maps to the duplicated value [2, 2]. The update method from dict does not use our version of __setitem__ either: the value of 'three' was not duplicated. This built-in behavior is a violation of a basic rule of object-oriented programming: the search for methods should always start from the class of the target instance (self), even when the call happens inside a method implemented in a superclass. In this sad state of affairs, the __missing__ method—which we saw in “The __missing__ Method”—works as documented only because it’s handled as a special case. The problem is not limited to calls within an instance—whether self.get() calls self.__getitem__())—but also happens with overridden methods of other classes that should be called by the built-in",0.051391028,
q006,how to refactor duplicated code across multiple modules,sparse,2,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p1047_c1,"def check(n: int) -> Result: t0 = perf_counter() prime = is_prime(n) return Result(prime, perf_counter() - t0) def main() -> None: print(f'Checking {len(NUMBERS)} numbers sequentially:') t0 = perf_counter() for n in NUMBERS: prime, elapsed = check(n) label = 'P' if prime else ' ' print(f'{n:16} {label} {elapsed:9.6f}s') elapsed = perf_counter() - t0 print(f'Total time: {elapsed:.2f}s') if __name__ == '__main__': main() The check function (below) returns a Result tuple with the boolean value of the is_prime call and the elapsed time. check(n) calls is_prime(n) and computes the elapsed time to return a Result. For each number in the sample, we call check and display the result. Compute and display the total elapsed time. Process-based Solution The next example, procs.py, shows the use of multiple processes to distribute the primality checks across multiple CPU cores. These are the times I get with procs.py: $ python3 procs.py Checking 20 numbers with 12 processes: 2 P 0.000002s 3333333333333333 0.000021s 4444444444444444 0.000002s 5555555555555555 0.000018s",0.04961384,
q006,how to refactor duplicated code across multiple modules,sparse,3,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p506_c2,"is to show how—in some cases—functions can do the same work as classes, with code that is shorter and easier to read. We will refactor an implementation of Strategy using functions as objects, removing a lot of boilerplate code. We’ll also discuss a similar approach to simplifying the Command pattern. What’s new in this chapter 2",0.047615886,
q006,how to refactor duplicated code across multiple modules,sparse,4,cc_knowledge_book.pdf:p205_c1,"174 Chapter 12: Emergence replaceImage(ImageUtilities.getScaledImage( image, scalingFactor, scalingFactor)); } public synchronized void rotate(int degrees) { replaceImage(ImageUtilities.getRotatedImage(image, degrees)); } private void replaceImage(RenderedOp newImage) { image.dispose(); System.gc(); image = newImage; } As we extract commonality at this very tiny level, we start to recognize violations of SRP . So we might move a newly extracted method to another class. That elevates its visibility. Someone else on the team may recognize the opportunity to further abstract the new method and reuse it in a different context. This “reuse in the small” can cause system com- plexity to shrink dramatically. Understanding how to achieve reuse in the small is essential to achieving reuse in the large. The T EMPLATE METHOD2 pattern is a common technique for removing higher-level duplication. For example: public class VacationPolicy { public void accrueUSDivisionVacation() { // code to calculate vacation based on hours worked to date // ... // code to ensure vacation meets US minimums // ... // code to apply vaction to payroll record // ... } public void accrueEUDivisionVacation() { // code to calculate vacation based on hours worked to date // ... // code to ensure vacation meets EU minimums // ... // code to apply vaction to payroll record // ... } } The code across accrueUSDivisionVacation and accrueEuropeanDivisionVacation is largely the same, with the exception of calculating legal minimums. That bit of the algorithm changes based on the employee type. We can eliminate the obvious duplication by applying the T EMPLATE METHOD pattern. abstract public class VacationPolicy { public void accrueVacation() { calculateBaseVacationHours(); 2. [GOF].",0.047573812,
q006,how to refactor duplicated code across multiple modules,sparse,5,cc_knowledge_book.pdf:p80_c1,"49Conclusion While we are sympathetic to the goals and disciplines of structured programming, those rules serve little beneﬁt when functions are very small. It is only in larger functions that such rules provide signiﬁcant beneﬁt. So if you keep your functions small, then the occasional multiple return, break, or continue statement does no harm and can sometimes even be more expressive than the sin- gle-entry, single-exit rule. On the other hand, goto only makes sense in large functions, so it should be avoided. How Do Y ou Write Functions Like This? Writing software is like any other kind of writing. When you write a paper or an article, you get your thoughts down ﬁrst, then you massage it until it reads well. The ﬁrst draft might be clumsy and disorganized, so you wordsmith it and restructure it and reﬁne it until it reads the way you want it to read. When I write functions, they come out long and complicated. They have lots of indenting and nested loops. They have long argument lists. The names are arbitrary, and there is duplicated code. But I also have a suite of unit tests that cover every one of those clumsy lines of code. So then I massage and reﬁne that code, splitting out functions, changing names, elim- inating duplication. I shrink the methods and reorder them. Sometimes I break out whole classes, all the while keeping the tests passing. In the end, I wind up with functions that follow the rules I’ve laid down in this chapter. I don’t write them that way to start. I don’t think anyone could. Conclusion Every system is built from a domain-speciﬁc language designed by the programmers to describe that system. Functions are the verbs of that language, and classes are the nouns.",0.04696341,
q007,improving readability in deeply nested try except blocks,sparse,1,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p927_c1,"else: raise ValueError('No banana flavor found!') In the case of try/except blocks, else may seem redundant at first. After all, the after_call() in the following snippet will run only if the dangerous_call() does not raise an exception, correct? try: dangerous_call() after_call() except OSError: log('OSError...') However, doing so puts the after_call() inside the try block for no good reason. For clarity and correctness, the body of a try block should only have the statements that may generate the expected exceptions. This is much better: try: dangerous_call() except OSError: log('OSError...') else: after_call() Now it’s clear that the try block is guarding against possible errors in dangerous_call() and not in after_call(). It’s also more obvious that after_call() will only execute if no exceptions are raised in the try block. In Python, try/except is commonly used for control flow, and not just for error handling. There’s even an acronym/slogan for that documented in the official Python glossary:",0.13492599,
q007,improving readability in deeply nested try except blocks,sparse,2,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p989_c1,"forwarded as a next(…) call on the subgenerator; only if the caller sends a non-None value, the .send(…) method of the subgenerator is used. For your convenience, I present here the complete pseudocode of the yield from expansion from PEP 380, with numbered annotations. Example 19-19 was copied verbatim; I only added the callout numbers. Most of the logic of the yield from pseudocode is implemented in six try/except blocks nested up to four levels deep, so it’s a bit hard to read. The only other control flow keywords used are one while, one if, and one yield. Find the while, the yield, the next(…), and the .send(…) calls: they will help you get an idea of how the whole structure works. Remember that all the code shown in Example 19-19 is an expansion of this single statement, in the body of a delegating generator: RESULT = yield from EXPR Example 19-19. Pseudocode equivalent to the statement RESULT = yield from EXPR in the delegating generator _i = iter(EXPR) try: _y = next(_i) except StopIteration as _e: _r = _e.value else: while 1: try: _s = yield _y except GeneratorExit as _e: try: _m = _i.close except AttributeError: pass else: _m() raise _e except BaseException as _e: _x = sys.exc_info() try: _m = _i.throw",0.10736038,
